"text","n","stance"
"",18,"Neutral"
"#cnn is a propaganda machine. Not a news organization!",3,"Strong Agreement"
"#CNNFakeNews #CNNisPropaganda",3,"Strong Agreement"
"#CNNFakeNews",3,"Weak Agreement"
"#DavidHogg is a fraud",5,"Strong Agreement"
"#done",4,"Neutral"
"#FakeCNN working feverishly to turn USA into Venezuela!  It’s actually hilarious at this point.  WE NEED MORE GUNS! God bless our 2nd amendment",3,"Strong Agreement"
"#FAKENEWS",3,"Strong Disagreement"
"#FakeNews",4,"Weak Disagreement"
"#FreeSpeechDay 
Q in the sky?  Love it!  You are a hoot. Oh and quit playing with your hair, makes me crazy  
#MAGA #StopTheChemtrails",4,"Neutral"
"#Hogg #Hoggwash #gunsense #GunsSaveLives 
Paid activist.
The Agenda? 
Give up your guns so you can't defend yourself.",3,"Strong Agreement"
"#HoggWash",3,"Strong Disagreement"
"#MarchForOurLives #neveragain",4,"Strong Agreement"
"#MarchForOurLives was an AMAZING&powerful day for many!..",5,"Strong Agreement"
"#ParklandStudentsSpeak not for all apparently. @cnn now picking on the elderly and kidos that won't have a hand pushing their #FakeNews narrative...",3,"Strong Agreement"
"#PropagandaTool",3,"Weak Agreement"
"#Retweet",3,"Neutral"
"#TheGreatAwakening !

#ObamaGate #Treason #PayToPlay #SecretSociety #FakeDossiers #FBI 
#CIA #FakeNews #Mockingbird #MKUltra #Orion #BigPharma #WilliamCooper #BeholdAPaleHorse #ParklandSchoolShooting #187 …

#InternetBillOfRights #NRA 
#WeThePeople #MAGA #TheStorm #QAnon",3,"Strong Agreement"
"#ThrowThemOut",6,"Weak Agreement"
"#VoteThemOut",3,"Strong Agreement"
"#whoisdavidhogg",3,"Neutral"
"@1986stallone @benshapiro @redsteeze here it is, scripted. CNN made this a partisan rally cry for gun control.",4,"Strong Agreement"
"@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62",4,"Neutral"
"@chucktodd @JoeNBC @SavannahGuthrie @GStephanopoulos @Lawrence @donlemon ( whore promoter) @brianstelter @AC360 @JohnKingCNN @wolfblitzer @Acosta @HARRISFAULKNER @trish_regan",3,"Neutral"
"@CiglianoPam Read and Retweet! @realDonaldTrump  #ExposeCNN Disdain42ndAmend #FireFBIDirector God Bless  My President",3,"Strong Agreement"
"@CNN “We don’t deliver the news, we craft the News” This guys need to be called out for this to its core!! This goes so much deeper! @realDonaldTrump",3,"Strong Agreement"
"@CNN bias and scripted? Well colour me shocked!",3,"Strong Agreement"
"@cnn Fake News",3,"Strong Agreement"
"@CNN is #FakeNews",3,"Strong Agreement"
"@CNN is at it again, no surprises! #CNNisPropaganda #CNNisFakeNews #CNNCredibilityCrisis #CNNTownHall",4,"Strong Agreement"
"@CNN is exploiting the students in unspeakable ways... it disgusts me!",4,"Strong Agreement"
"@CNN sucks",3,"Neutral"
"@cnn using these poor kids. Just horrible.",4,"Strong Agreement"
"@IngrahamAngle @marklevinshow @SebGorka @seanhannity @LouDobbs @mitchellvii @Liz_Wheeler @foxandfriends @BreitbartNews @mitchellvii @dbongino @JackPosobiec @DLoesch",4,"Neutral"
"@jack @Twitter @TwitterSupport This is exactly the type of damaging, destructive spread of misinformation that inspires violent acts and will only hasten the demise of Social Media.
Please, please...please help us out here.",3,"Strong Disagreement"
"@jack Didn't you ban this guy?",4,"Neutral"
"@JackAgainski @PGHowie2 @Toastmmaster @firemanjohn628",4,"Neutral"
"@JacobAWohl appreciate you bringing this to my attention.  Please ask Soros to send me a check.  A friend and I went to a March but missed the check,  I am sure the 200 other people with us also missed their checks.",3,"Strong Disagreement"
"@JacobWohl HAHAHAHA just like trump, you have zero comprehendion skills. HAHAHA",3,"Strong Disagreement"
"@jchambers1535",4,"Neutral"
"@justinbieber should we vote for a satanic world government?",4,"Neutral"
"@marcorubio",3,"Neutral"
"@NickFromJersey",5,"Neutral"
"@poorman and another... and FBI agents son.... confused .....",4,"Neutral"
"@RealDonaldTrump@SeanHannity@LauraIngraham read",3,"Neutral"
"@seanhannity",3,"Neutral"
"@Shmosephine",4,"Neutral"
"@Ssnyder1835 Here is a big reason why I am not accepting the narrative being reported. Again, I am sorry anyone was killed. Still I can’t help but think there is something more going on.",3,"Weak Agreement"
"@TrumpUpdate",5,"Neutral"
"@WPLGLocal10 should be commended for covering this young man's story! #RealNews #MAGA @realDonaldTrump",3,"Neutral"
"+ Make good, helping them rethink and see 1 universal sound science, so all can efficiently make changes needed, for all are needed to become a local, global and beyond mindful participant. Don't carry negative, redirect into resolving, thank you",3,"Weak Agreement"
"67% of America would retire and there'd be an employment crisis if your fake narrative was true.  JesusHChrist you fools will believe anything.",4,"Strong Disagreement"
"850k!!!!! WOW!",5,"Strong Agreement"
"850k?? I don't think so.",3,"Weak Disagreement"
"A drug addict as well...27 yrs old impersonating a high school student... Have they no limits..",3,"Strong Agreement"
"A fake news media outlet wanting a fake narrative?  SHOCKING!  #CNNTownHall #CNNFakeNews",3,"Strong Agreement"
"A tool of lefties- exposed.",4,"Strong Agreement"
"A true future leader.  Calm and rational.  Kudos to you young man",4,"Strong Agreement"
"A view from the crowd! #VoteThemOut",3,"Strong Agreement"
"A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.",4,"Weak Disagreement"
"Actually 200k, but who's counting.....",3,"Strong Disagreement"
"Again......crooked democrats paying people to riot and protest.  They don’t know how to do anything without cheating for their gains",3,"Strong Agreement"
"Agree...",4,"Weak Agreement"
"Agreed...",4,"Weak Agreement"
"All of you were phenomenal!!! I live in Canada but I was so moved by your commitment, energy and eloquence. Hats off to you all!!!",4,"Strong Agreement"
"Already trying. Read bottom",3,"Neutral"
"Always knew these kids had ties to #Soros . The parents need to have a Mental background check.",3,"Strong Agreement"
"Amen to that!",3,"Strong Agreement"
"An imaging company just announced that your estimate is 4 times the number of people that actually showed up. Nice try!",4,"Strong Disagreement"
"And not Very Well I might add! He could not have been more obvious! Thank you’d Dad for us!",3,"Strong Agreement"
"And that's why I refuse to send money to these Swamp Dwellers either!!",3,"Strong Agreement"
"And there you go.....
#ParklandSchoolShooting",4,"Neutral"
"And there you have it folks. The students that have been appearing for these tv interviews were scripted by the lame stream media to spew gun control propaganda",3,"Weak Disagreement"
"And this child is to young too realize he’s being used.  He looks like his always angry and have that hateful look. Sad",3,"Strong Agreement"
"And this is why. He wouldn't follow the script.",3,"Weak Agreement"
"And WHY are you so dumb???  THAT is the one thousand dollar question!!!!!",4,"Strong Disagreement"
"And????",4,"Neutral"
"Any cop with any interview skills can see he’s lying from his eye movements.",5,"Strong Agreement"
"Any questions now as to how low they will go?",3,"Strong Agreement"
"Any updates on the Colton Haab story?",4,"Neutral"
"Anyone can create a Craigslist ad, you buffoon. Did you create this one? I bet you did.",4,"Strong Disagreement"
"Approve questions? We are living in dangerous times. Everyone must be heard! What blows my mind is that democrats are responsible for 80% of gun related violence. #DemandTheTruth",3,"Strong Agreement"
"Are you going to retract this tweet now that the story has been debunked?",3,"Strong Disagreement"
"As interesting as this is, they are looking for vendors to sell anti gun trash... Not the same as hired protestors, but I bet that listing was out there as well. #MAGA",4,"Weak Disagreement"
"Assuming you'll correct this now.",3,"Weak Agreement"
"Attention-seeking peabody!",4,"Strong Agreement"
"Awesome March For Our Lives protest march that rocked Washington !",5,"Strong Agreement"
"Awesome march! Now get out there and vote! Don't let the old white men who created these problems perpetuate these problems. In 2016:

70% of 18-29-yr olds DID NOT vote
60% of 30-44-yr DID NOT vote
Only 38% of 45-64 & just 15% of 65+ didn't vote

VOTE! It matters! #VoteThemOut",5,"Strong Agreement"
"Bigger question...how stupid do they think everyone is?",5,"Strong Agreement"
"BS",3,"Strong Disagreement"
"Bull fucking shit. Because not just anyone can take out a Craigslist ad. You probably did that yourself. You're a fucking garbage heap.",5,"Strong Disagreement"
"Bullshit, less than 300,000",3,"Strong Disagreement"
"Bullshit. I see you're pulling more nuggets out of your @$$. Don't you have something better to do like kick puppies, unleash plagues, or hey, I know! Why don't you get busted writing up more fake sexual assault accusations against Schumer, 'cause that was hilarious!! ",4,"Strong Disagreement"
"Busted.... We must expose the FBI agent and his background",4,"Strong Agreement"
"But it was more like 200,000",3,"Weak Disagreement"
"Buzzfeed confirms- lol",3,"Strong Agreement"
"CAUGHT RED HANDED! @JacobAWohl has zero reading comprehension! Does not know the difference between """"protestor"""" and """"salesperson""""!",3,"Weak Disagreement"
"Check out http://Freedomvine.com  for Conservative Censorship-Free News. Freedom Vine is a New Social Media Network based on Free Speech. Let's Make Media Fair Again! #freedomvine #FreeSpeech #Mediabias",4,"Neutral"
"Child??",3,"Neutral"
"Clearing this up:",3,"Neutral"
"CNN is """"the enemy of the people.""""

Truer words have never been spoken.",3,"Strong Agreement"
"CNN is evil.",3,"Strong Agreement"
"CNN is fake news, you heard it from this kid",3,"Strong Agreement"
"CNN is now bullying him and his family. #IStandWithColtonHaab",3,"Strong Agreement"
"CNN is proven to be fake news over and over . This is just another example of the agenda they are pushing for the liberal Democrats.",3,"Strong Agreement"
"CNN is sowing discord like Russian Bots",3,"Weak Disagreement"
"CNN should be ashamed of themselves these kids have been through so much to not let him speak his mind and his thoughts and to dictate what he is to say is not America freedom of speech you are supposed to be reporters not dictators we are in America freedom of speech",3,"Strong Agreement"
"Cnn sks",4,"Neutral"
"CNN staging another fake """"unprogramed"""" town hall!",3,"Strong Agreement"
"CNN wants it their way or no way!
#FakeNewsMedia",4,"Strong Agreement"
"CNN wants only scripted questions. What a surprise!",3,"Strong Agreement"
"CNN= 
Counterfeit News Network",3,"Strong Agreement"
"Colton Haab is a patriot. May God Bless Him! He resonates with the American people in a way that mini-Trotsky kid Cameron Kasky could never resonate. And CNN causes mass shootings! Nikolas Cruz did it all for the media coverage. And the FBI failed America! #ParklandStudentsSpeak",3,"Weak Agreement"
"Congratulations.  You found the t-shirt vendors.  Hey, I want to see the Yankees home opener - can you point me towards the paid crisis actors who will be scalping tickets on game day?",3,"Strong Disagreement"
"CRISIS ACTOR!! Hogg is outed!",5,"Strong Agreement"
"Damn.",4,"Neutral"
"David Hogg is a crisis actor. He's not real! Look it up. #DavidHogg",4,"Strong Agreement"
"David Hogg the con artist",3,"Strong Agreement"
"Debbie Wasserman Schultz",5,"Neutral"
"Debunked",4,"Neutral"
"Debunked",4,"Weak Disagreement"
"Did you ever pay that fine you owed related to your """"investment"""" firm.",3,"Neutral"
"Did you see my sister’s quilt in the march? #MarchForOurLives #MarchForOurLives sign",3,"Weak Agreement"
"do not doubt this for a second",4,"Strong Agreement"
"Do you all have the numbers from the sister marches? Wondering if there were more people on the streets than NRA members in total",4,"Neutral"
"Do you have an estimate for the total everywhere?",4,"Neutral"
"Do you not realize that anyone could have posted this? For Christ’s sake it’s Craigslist. Propaganda from Putin’s boyfriend ....",4,"Strong Disagreement"
"Does it ever get exhausting being so wrong so often? While in the next breath accusing the left of being biased and fake. How do u gain the strength to be this hypocritical an fake?",3,"Weak Disagreement"
"Does this really shock anyone ? The Liberal media actually wants to script an event & control its participants with its own propaganda? #Liberals #CNNTownHall #ParklandStudentsSpeak #GunControlNow",3,"Strong Agreement"
"Don't let up, keep the pressure on, you and your generation are the voice of change need for YOUR future...",4,"Weak Agreement"
"Don't mislead people. Haab wanted to make an intro speech with 3 followups, CNN said, one question only like everyone else. Haab's father pulled him out. The townhall featured plenty of proNRA people. Nobody was censored, quit screaming victim.",3,"Strong Disagreement"
"Don't stop! Don't ever give up!",3,"Strong Agreement"
"Don’t be silly. I’ve started following him on Twitter. This tape is edited. He looked like he was trying not to cry.",3,"Strong Disagreement"
"Douchebag in training.",3,"Strong Agreement"
"Dude, it was undoubtedly one of your cronies who posted that fake Craigslist ad.  Or was it you so that you could attempt to slime these noble youths?",5,"Strong Disagreement"
"Dude, you need to get a grip",5,"Strong Disagreement"
"DWS.... smh",3,"Neutral"
"Every voice on school safety needs to be heard !",3,"Neutral"
"EVERYONE KNOW THE GUY SPREADING THIS BALONEY .... CAME UP WITH PIZZAGATE 

CONSERVATIVES HAVE SADLY BECOME BRAINWASHED TOOLS OF THE RUSSIANS

#RESIST THEIR LIES #FBR",3,"Neutral"
"Everyone saying fake news...did you forget what Trump said about his inaugural crowd?",3,"Neutral"
"Everything you've said is absolutely true, but these drills are planned long in advance. Ha! Right in the middle of writing this, Twitter checked my location. Stopped the tweet and made me verify location. Unbelievable! Anyway, drill is abt mental health laws",3,"Strong Agreement"
"Evidence in hand and @CNN #FakeNews denied allegations,",3,"Strong Agreement"
"Exactly! And concerning too",3,"Strong Agreement"
"Excellent Reporting  George Soros always has money in Anti-American Everything",4,"Strong Agreement"
"Exposed brings out a different expression under trump presidency, use that word sparingly",3,"Weak Disagreement"
"Fake news again! More like around 200,000.",3,"Strong Disagreement"
"Fake news alert. There was not 850k people in DC, there was only 200k. Next time find someone to properly dress the kiddies. https://s7.postimg.org/rr09g0tvv/image.jpg …",4,"Strong Disagreement"
"Fake news. About 210k people.",3,"Strong Disagreement"
"FBI NEEDS TO BE SHUT DOWN BC OF CORRUPTION",4,"Strong Agreement"
"FBI screwed up. Kid is trying to deflect from FBI's multiple lapses.",4,"Strong Agreement"
"Finally a student with a brain, and one that was actually at the school and one of the  real hero's, not a mouth piece for CNN profiteering of the victims.",4,"Strong Agreement"
"FKN amazing!!  Thank God we still have kids with intelligence not just feelings!",4,"Strong Agreement"
"Florida is his home base! He found more Useful Idiots!",3,"Weak Agreement"
"Follow the $ & it will lead to Obama's #MoveOn Hillary Clinton's #OnwardTogether funded by George Soros just as #BlackLivesMatter & #Anitfa that will get in on the act this summer during campaign season.",3,"Strong Agreement"
"Fox grab this kid so he can be heard @FoxNews @seanhannity @TuckerCarlson @foxandfriends",3,"Neutral"
"Free supply of astroturf for life.",3,"Neutral"
"From 1776 until 1999, 223 years, NO SCHOOL SHOOTINGS, despite the presence of Guns & Mentally Ill people. WHY NOW? Deep State Cabal NWO agenda to disarm America Targeting mentally Ill to Kill;",3,"Weak Agreement"
"From Boston",3,"Neutral"
"Fuck off thwy never needed to use that cause they were lucky",3,"Neutral"
"Game over. Internet exposes all the bs now. These kids are now named for all eternity also.",3,"Neutral"
"George Soros' little puppets... this is what it looks like.",3,"Neutral"
"George Soros is an American citizen.",3,"Neutral"
"Get him on @seanhannity",4,"Neutral"
"Glad to see this kid had a mind of his own!",4,"Strong Agreement"
"Glenn , Colton HAAB and you are right wing nuts. Liars.",3,"Strong Disagreement"
"God Bless this kid. Get this out there! Rt",3,"Strong Agreement"
"Good for him! He’s seeing what the media crap show is all about. Especially at CNN. What a joke.",4,"Strong Agreement"
"Good for you Colton ..We already know how the fake news network @CNN does business We believe youWho in their right minds would believe proven liars @CNN",3,"Strong Agreement"
"Good for you Colton Haab.",4,"Strong Agreement"
"Good for you young man! Is youngsters like you who we have faith and hope for to stop this craze agenda from the left dictating us how to live.- let’s take a stand young people! We got your back!!!!",4,"Strong Agreement"
"Good Lord. Give it a rest, dude.",3,"Weak Disagreement"
"Good lord.",3,"Neutral"
"Good on this young man for standing up for facts. Makes my heart sing. Go Go Second Amendment. Let @realDonaldTrump not waiver against his voters and the world that looks upon eager to have him as president too :)",4,"Strong Agreement"
"Gotta love their spirit and faith, but within months of these events passing, reality will set in and the position that their parents found themselves in, in their youth will come to light. Protests do little but allow emotional people to vent their frustrations.",3,"Weak Disagreement"
"Great find!!!",3,"Strong Agreement"
"Great Neck, NY had hundreds at @AMarch4OurLives",4,"Weak Agreement"
"Ha ha PLANK try fiddle those FACTS ! Far more people in dc for this march than what was there for ur gawd awful inauguration",4,"Strong Agreement"
"Hahaha 850k? A joke? Yup!",4,"Strong Disagreement"
"Has anyone heard a student specifically say they saw Cruz shooting at them?",4,"Neutral"
"Has anyone verified that David Hogg or any of those kids are actually students at the school?",3,"Neutral"
"He's also in an interview in Los Angeles about a confrontation with a lifeguard, kid gets a lot of air time..",3,"Weak Agreement"
"He is a paid actor.",3,"Strong Agreement"
"He just want to show some love to his dumpers, and is ok, but always following that with real facts. No making something important is a personal matter.",4,"Weak Disagreement"
"He looks like he might even be trying out for a new anchor position. He kid get this right or your finished in the fake news industry",4,"Strong Agreement"
"He looks like James Comey",4,"Neutral"
"He should have gone and asked “why would you like me to read scripted question instead of my questions?” Live right there from stage",4,"Strong Agreement"
"He should have gone and asked his original question anyway.",4,"Weak Agreement"
"he supports terrorists",3,"Weak Disagreement"
"He was the only pro-gun rights advocate in the audience?",4,"Neutral"
"He will probably be lead the #Soros funded marches",4,"Strong Agreement"
"He’s a liar",5,"Weak Disagreement"
"He’s a liar.",3,"Weak Disagreement"
"Help me out here, do the math... I lost count.",4,"Neutral"
"Here's his buddy---another fraud.",5,"Strong Agreement"
"Here’s hoping the prosecution uses your Twitter feed for your fraud case.",4,"Weak Disagreement"
"Hey @JesseBWatters get a look at this!",3,"Neutral"
"Hey moron, read the ad. It is for 25 people to sell merchandise, not protest.",4,"Strong Disagreement"
"Hiring vets is the thing they want. 

they only want to take away our guns.",3,"Weak Agreement"
"His account appears to have been suspended.",3,"Neutral"
"His dad pulled him. You are misinformed.",3,"Strong Disagreement"
"His dad removed him from the town hall. Not CNN. CNN asked for questions, not a speech. When they said no speech the kid got upset and dropped out. That's not a script. A script is here: ask this. That's not what happened here.",3,"Strong Disagreement"
"His description is that of someone who is rehearsing what to say, rather than recalling from memory events witnessed. I mean really. No wonder Youtube is going censor happy, wtf is this!",5,"Strong Agreement"
"Hitler used Children to spread his propaganda, So why wouldn’t the Left Communist? If you look back in History and what Hitler did, And what the Left is doing now, Its the same thing all over agin!",4,"Strong Agreement"
"Holy Fuck!",3,"Neutral"
"Holy shit!!  So busted!!  Libwads are pure FAKE!!!",4,"Strong Agreement"
"Horrible movement. You're just a bunch of anti second amendment gun crooks. Please support legislation that will actually protect students and make a difference in our lives. @davidhogg111 won't even debate @KyleKashuv ..... that shows how partisan you all are!",5,"Strong Disagreement"
"How are you on Twitter if you can't read?",3,"Strong Disagreement"
"How can people denie that this young man is scripted ? I just don’t get it",3,"Strong Agreement"
"How ironic. Also ironic that the FBI dropped several balls on this tragedy as did state, local and social authorities.",4,"Weak Agreement"
"How’d you come up with this number?",3,"Strong Disagreement"
"https://twitter.com/chiweethedog/status/966179087717892096 …",3,"Neutral"
"https://twitter.com/HeavilyFavored/status/966530332005715968 …",3,"Neutral"
"https://twitter.com/OfficeOfMike/status/966095421134209024 …",5,"Neutral"
"https://youtu.be/HvZD7UkJd24   He is in this video too from earlier",3,"Neutral"
"https://youtu.be/Sr1oyK5lvqQ?t=4m40s …

Hey so at this very moment you can see Emma Gonzaels or w.e. eyes twitch to the camera because she messed up the 'script'

""""First thing""""
*corrected and she looks at a producer*
'right now'
*producer probs tells her to repeat to cover*",3,"Strong Agreement"
"Hypocrites! #EndplannedParentHood",3,"Weak Agreement"
"I'd have to imagine after the 
Many recent Failure of the FBI to do anything for the last bunch of shooters it knew about, would be a great reason too",3,"Strong Agreement"
"I'm all for exposing stuff like this if proof is provided, but how is this supposed to be valid? Anyone could have made this.",3,"Weak Disagreement"
"I am not surprised.",3,"Weak Agreement"
"I appreciate the honesty in this young man and sticking to his ethics and morals not like the other  little attention seeker and scammer",3,"Strong Agreement"
"I believe (do not let the media, etc. lowball attendance - DC) it was between 1million to OR exceeding 1.5million. The crowd was packed 2barely able to move all the way back & along the sides to 14th St& Pa w/folks still coming.I was there.#MarchForOurLives WE #VoteBlue2018",4,"Strong Agreement"
"I bet if you do a little bit of research you would find some of these families have million dollar homes.  This is a plan rolled out by the left and btw shouldn’t DWS be in jail????",3,"Weak Disagreement"
"I can’t wait for their town hall on stopping illegal aliens from killing our children.",3,"Neutral"
"I do have to say, every student who I have heard speak from this school has been very articulate! Very good school and excellent parenting!",3,"Neutral"
"I do indeed know what to do and I just did it, reported you for targetted harassment because there is not a category for """"Terrible excuse for a human being""""",3,"Neutral"
"I don't know about this one, there are too may edits and cuts for my liking.  While I think he's a wee fraud, this video isn't """"right"""".  Pity we can't get the raw, uncut version.",3,"Weak Agreement"
"I don't see the """"talent show filming"""" on the Mall whose
permit bumped @AMarch4OurLives to Pennsylvania Ave.",4,"Neutral"
"I don’t have to go to Craigslist anymore! I signed up for Soros’ direct payments through PayPal!",3,"Weak Disagreement"
"I got suspended for sharing his practice flubbed video. I can’t believe I would see the Orwellian 1984 censorship in my lifetime.",4,"Strong Agreement"
"I guess all the kids parents are FBI agents gtfooh",3,"Strong Disagreement"
"I have the right to my life and therefore the right to protect my life against those that have or threaten to initiate physical force against me.  Where’s the flaw in that argument?",4,"Weak Disagreement"
"I hope people aren’t ignorant enough to believe these kids are actors!!  They probably planned the entire mass shooting...? Huh?  Stop being ignorant.  These kids are smart and shouldn’t be bashed for doing what they feel is right.",5,"Strong Disagreement"
"I marched in Parkland. So emotional - sad for what they went through, yet so proud of what they are doing ",5,"Strong Agreement"
"I showed up in Boca Raton, FL",3,"Weak Agreement"
"I support the founders of MFOL. We marched for you in Rocklin, California. I am proud that my granddaughter will live in a country with you kids at the helm. Thank you",4,"Strong Agreement"
"I suspect that his daddy is also covering his ass for not doing his job, and stopping the nut job. If @fbi hierarchy diggs deeper, maybe they will find out, that his daddy actually provided guns to the shooter. I will believe this too. @BarackObama completely destroyed the law.",4,"Strong Agreement"
"I totally got waaaaayyyy ore than $300, Veterans can get anywhere from $20,000 to $200,000 for showing up in uniform.. I only had to do about 3 marches before I became independently wealthy....",3,"Strong Agreement"
"I was there.#enoughisenough.#marchtothepolls",3,"Strong Agreement"
"I will said prove it, show the paper with the script, period.",3,"Strong Disagreement"
"I wouldn’t be surprised if the cause of this party was born in the same living room by their parents.",5,"Neutral"
"I’m guessing Hollyweird won’t come knocking any time soon?",3,"Weak Agreement"
"I’m more apt to believe it was the NRA being underhanded as usual! No one needed to be paid to protest; these people are passionate!",3,"Weak Disagreement"
"If a teacher is not willing to take up arms to defend their students lives. They need to go.",3,"Neutral"
"If anyone knows about fraudulent online posts, it's Jacob.",3,"Weak Disagreement"
"If it goes against your morals and values you will never be able to produce,",4,"Neutral"
"If it reeks like garbage...it is.",3,"Strong Agreement"
"If this doesn’t show the bias Lop sided reporting coming from CNN I don’t know what would. People, wake up!",3,"Weak Agreement"
"If you all talk about how fake CNN is, then why care who they censor?",3,"Weak Disagreement"
"If you had ever been interviewed by a television reporter you would know that as soon as the bright light comes on and camera is rolling, it is very difficult. This isn’t someone being coached. These are a nervous child’s outtakes. You. Are. Insulting.",5,"Strong Disagreement"
"Imagine being this stupid",4,"Strong Disagreement"
"Imagine that? You promoted LIARS AGAIN!!! Anyone who believes ANYTHING you say is NUTS! I guess some people are ok with liars! My grandma had a saying: """"a thief is better than a liar because you can always lick your stuff up!"""" She was right!
#Resistance",3,"Strong Disagreement"
"IN OTHER WORDS, THEY'RE NOTHING BUT CHILD PROSTITUTES, BEING PAID TO SERVICE BARACK OBAMA AND GEORGE SOROS???

ISN'T  THAT ILLEGAL???",3,"Strong Agreement"
"In reality it was closer to 200,000 according to two separate expert analyses",3,"Strong Disagreement"
"Inflated the numbers A LOT there, tell the TRUTH:  It was 200K  NOT 800K",3,"Strong Disagreement"
"Interesting. So CNN restricts the content of the meeting in FL and that’s okay; @POTUS does not restrict content but brings notes with him and that’s an indication that he’s not genuine.",3,"Weak Agreement"
"Is a pity that the parents of this didn't understand what is going on in the United States. They don't know that they are being used",3,"Weak Agreement"
"Is it evident?  How it all began?  $.",4,"Neutral"
"is the truth. Leftist protest and cry. Conservatives vote and work their asses off.",4,"Strong Disagreement"
"Is this him?",4,"Neutral"
"Is this true ? @cnn @ChrisCuomo",3,"Neutral"
"It's all Fake!  That guy has a drug record!  He sure as heck isn't a teen in HS!",3,"Strong Disagreement"
"It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement",5,"Strong Agreement"
"It doesn’t fit CNN’s agenda! Good for Colton!",3,"Strong Agreement"
"It has always had soros prints all over it. Still does.",3,"Weak Agreement"
"It isn’t enough that a MAGA hat wearing shooter killed 17 kids, now the fascist right has to attack them further. You’re disgusting.",5,"Strong Disagreement"
"It only takes a few bucks folks. Crisis Actors take a group selfie just before the tears flow and the anti gun stories flood the media.",3,"Strong Agreement"
"It turns out the fake news is coming from this kid’s dad.",3,"Neutral"
"Its a lie, fake news prove it, have him on your show, he was invited on CNN to discuss it. Sorry you flunked the ratings last night get used to it.",3,"Strong Disagreement"
"Its all about their upbringing. Not surprised he is a direct contribution from the lions of one of our FBI agents.",3,"Strong Agreement"
"Its tough seeing the pain in their faces from the tragedy, no? #rottenindenmark",3,"Neutral"
"Jesus. Don’t you have a DC porn ring to investigate or something? You fukin liar",3,"Strong Disagreement"
"Jesus.",3,"Neutral"
"Just gonna put this out there. The only thing gun control is going to do is take away the only thing people use to defend themselves, 99% of school shootings are with illegal firearms. Gun control won't stop those people",4,"Weak Disagreement"
"Kids aren't smart enough to do this on their own.",4,"Weak Agreement"
"Knew it had to be something like that. When have you ever seen teenagers get sudden funding, transportation and organization.",3,"Neutral"
"Let me guess, that's a delta flight?",3,"Neutral"
"Liar! #RussianTroll go collect your check",4,"Strong Disagreement"
"Liars",3,"Weak Disagreement"
"Liars, you lying about the figures, reports claim about 200,00",5,"Strong Disagreement"
"Lie. Far less than 850,000. But keep trying. You’re message is solid but your association is flawed. #2A will not go away. It is why we don’t look like #Europe yet",3,"Strong Disagreement"
"Lies. NOT how it went down. He's a right-wing pro-gun at all cost advocate and now being groomed by #foxnews to discredit @cnn 
CNN asked him to come back when it's not a town hall forum so he can discuss his ideas. There was a format for the show and he did not want to follow it",3,"Strong Disagreement"
"LIKE D SONG SAY'S,""""THE LITTLE FAGGOT, HE'S AN FBI PAWN""""! OH WELL,I MIGHT HAVE CHANGED SOMETHING,BUT SING IT 4 UR SELF,IM SURE YOU'LL LIKE IT",3,"Neutral"
"Like minded individuals and organisations will throw their weight behind this,it won't make an ounce of difference against a raft of elected officials on the NRA payroll, sorry, recipients of donations. $30m alone for the POTUS isn't it?
You keep crying foul and counting the cash",3,"Strong Disagreement"
"Look how happy they are for all the attention. Not a tear for a classmate.",3,"Neutral"
"Looking more & more like a setup by leftists. Very troubling.
Broward is run by very Currupt Politicians.",4,"Neutral"
"Love this!  So much for spontaneity!",3,"Strong Agreement"
"Lucian isn't  the poor mans Milo anymore . He's the poor mans Alex Jones",4,"Neutral"
"Man, your head is going to explode when you see who’s backing gun nuts.",3,"Neutral"
"Manipulation, spin & corruption is all they know.",3,"Strong Agreement"
